         532113 function calls (529176 primitive calls) in 1.863 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        2    0.000    0.000    1.091    0.545 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\client.py:291(_read_status)
        1    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\util\wait.py:33(select_wait_for_socket)
        2    0.000    0.000    0.003    0.002 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\client.py:231(_parse_header_lines)
      8/3    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py:37(_compile)
        2    0.000    0.000    1.437    0.719 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\requests\adapters.py:590(send)
       13    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\client.py:1294(putheader)
        6    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:232(http2time)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        8    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\message.py:602(get_content_type)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        2    0.000    0.000    1.434    0.717 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\connectionpool.py:377(_make_request)
       21    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\urllib\parse.py:875(quote)
        6    0.000    0.000    0.003    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\requests\cookies.py:124(extract_cookies_to_jar)
      135    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\email\message.py:489(items)
        2    0.000    0.000    0.001    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\connection.py:424(request)
        2    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\urllib3\response.py:466(__init__)
       80    0.000    0.000    0.000    0.000 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\bs4\element.py:2068(_all_strings)
        2    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\socket.py:221(__init__)
        2    0.000    0.000    0.002    0.001 C:\Users\timur\School21\DSB4_Package_management.ID_1577671-1\src\atronacg\Lib\site-packages\requests\adapters.py:336(build_response)
       12    0.000    0.000    0.000    0.000 C:\Users\timur\AppData\Local\Programs\Python\Python313\Lib\http\cookiejar.py:551(domain_match)
       92    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
